round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,2.948330435271427,2.523760144042969,2.541531408691406,0.1,0.10000000149011612,0.0,56083200,11216640,112166720,0,10,0,1,0,10,56083200,1.5921275615692139,175258,0.6544586000964046,dense_g15,dense,4100,94100,dev
15,2.598477337154586,2.176354992675781,2.171013232421875,0.1631,0.163100004196167,0.0,841248000,89733120,897336000,0,150,0,15,0,10,56083200,0.12174222618341446,175258,8.232512900140136,dense_g15,dense,4100,94100,dev
30,2.4634726474723183,2.0435053833007815,2.036403558349609,0.2291,0.22909998893737793,0.0,1682496000,173857920,1738588800,0,300,0,30,0,10,56083200,0.0949799045920372,175258,16.35265940008685,dense_g15,dense,4100,94100,dev
45,2.3917316974852056,1.9738157104492187,1.967507843017578,0.2622,0.2621999979019165,0.04800000041723251,2523744000,257982720,2579841600,0,450,0,45,0,10,56083200,0.11351385712623596,175258,24.558408999815583,dense_g15,dense,4100,94100,dev
60,2.3148359660251883,1.89894384765625,1.8952283935546874,0.3172,0.3172000050544739,0.026000000536441803,3364992000,342107520,3421094400,0,600,0,60,0,10,56083200,0.08116351813077927,175258,32.72864009998739,dense_g15,dense,4100,94100,dev
75,2.269935238130385,1.856031640625,1.8552448974609375,0.3145,0.31450003385543823,0.03500000014901161,4206240000,426232320,4262347200,0,750,0,75,0,10,56083200,0.08634296804666519,175258,41.03983040014282,dense_g15,dense,4100,94100,dev
90,2.234544539991359,1.822590576171875,1.8214937255859376,0.3533,0.3533000349998474,0.20499999821186066,5047488000,510357120,5103600000,0,900,0,90,0,10,56083200,0.0952080488204956,175258,49.17886919993907,dense_g15,dense,4100,94100,dev
105,2.1987725245001726,1.7886836791992187,1.7890697143554688,0.3667,0.36670002341270447,0.03700000047683716,5888736000,594481920,5944852800,0,1050,0,105,0,10,56083200,0.13854342699050903,175258,57.31626569991931,dense_g15,dense,4100,94100,dev
120,2.1479285599298192,1.7396630126953125,1.7345264190673828,0.3839,0.3839000165462494,0.1379999965429306,6729984000,678606720,6786105600,0,1200,0,120,0,10,56083200,0.0867825299501419,175258,65.4745101002045,dense_g15,dense,4100,94100,dev
135,2.110885980803508,1.704409228515625,1.7043466094970703,0.3896,0.38960000872612,0.12999999523162842,7571232000,762731520,7627358400,0,1350,0,135,0,10,56083200,0.12468058615922928,175258,73.59477829979733,dense_g15,dense,4100,94100,dev
150,2.0900634099403863,1.6852924682617187,1.6811023986816407,0.3882,0.3882000148296356,0.05700000002980232,8412480000,846856320,8468611200,0,1500,0,150,0,10,56083200,0.09961213171482086,175258,81.72699469979852,dense_g15,dense,4100,94100,dev
165,2.047014438558719,1.6439562377929688,1.6401757873535157,0.4128,0.41280004382133484,0.18799999356269836,9253728000,930981120,9309864000,0,1650,0,165,0,10,56083200,0.09921827167272568,175258,89.8677754001692,dense_g15,dense,4100,94100,dev
180,2.025252213773574,1.6238651977539063,1.6201303192138672,0.4229,0.4229000210762024,0.17100000381469727,10094976000,1015105920,10151116800,0,1800,0,180,0,10,56083200,0.09796912968158722,175258,98.01073849992827,dense_g15,dense,4100,94100,dev
